CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
260005;PE;2;EMAD I, EMAP;Abreu e Lima
260010;PE;1;EMAD I;Afogados da Ingazeira
260030;PE;2;EMAD II, EMAP;Agrestina
260050;PE;2;EMAD I, EMAP;Águas Belas
260070;PE;2;EMAD I, EMAP;Aliança
260080;PE;2;EMAD II, EMAP;Altinho
260090;PE;2;EMAD II, EMAP;Amaraji
260140;PE;2;EMAD I, EMAP;Barreiros
260170;PE;3;EMAD I, EMAP;Belo Jardim
260190;PE;2;EMAD I, EMAP;Bezerros
260210;PE;2;EMAD I, EMAP;Bom Conselho
260290;PE;4;EMAD I, EMAD II, EMAP;Cabo de Santo Agostinho
260310;PE;2;EMAD II, EMAP;Cachoeirinha
260320;PE;2;EMAD II, EMAP;Caetés
260370;PE;2;EMAD II, EMAP;Canhotinho
260380;PE;2;EMAD II, EMAP;Capoeiras
260400;PE;2;EMAD I, EMAP;Carpina
260410;PE;4;EMAD I, EMAP;Caruaru
260420;PE;1;EMAD II;Catende
260480;PE;2;EMAD II, EMAP;Cortês
260540;PE;2;EMAD II, EMAP;Feira Nova
260590;PE;2;EMAD II, EMAP;Gameleira
260600;PE;2;EMAD I, EMAP;Garanhuns
260620;PE;2;EMAD I, EMAP;Goiana
260640;PE;2;EMAD I, EMAP;Gravatá
260750;PE;2;EMAD II, EMAP;Itaíba
260760;PE;2;EMAD II, EMAP;Ilha de Itamaracá
260765;PE;2;EMAD II, EMAP;Itambé
260775;PE;2;EMAD II, EMAP;Itapissuma
260790;PE;9;EMAD I, EMAP;Jaboatão dos Guararapes
260880;PE;2;EMAD II, EMAP;Lajedo
260900;PE;1;EMAD II;Macaparana
260950;PE;2;EMAD I, EMAP;Nazaré da Mata
261000;PE;5;EMAD I, EMAD II, EMAP;Palmares
261020;PE;2;EMAD II, EMAP;Panelas
261070;PE;3;EMAD I, EMAD II, EMAP;Paulista
261090;PE;2;EMAD I, EMAP;Pesqueira
261100;PE;2;EMAD II, EMAP;Petrolândia
261110;PE;4;EMAD I, EMAP;Petrolina
261160;PE;17;EMAD I, EMAD II, EMAP;Recife
261170;PE;1;EMAD II;Riacho das Almas
261190;PE;2;EMAD II, EMAP;Rio Formoso
261240;PE;2;EMAD II, EMAP;Sanharó
261250;PE;2;EMAD I, EMAP;Santa Cruz do Capibaribe
261300;PE;2;EMAD I, EMAP;São Bento do Una
261310;PE;2;EMAD II, EMAP;São Caitano
261320;PE;2;EMAD II, EMAP;São João
261330;PE;2;EMAD II, EMAP;São Joaquim do Monte
261340;PE;2;EMAD II, EMAP;São José da Coroa Grande
261380;PE;2;EMAD II, EMAP;São Vicente Férrer
261420;PE;2;EMAD I, EMAP;Sirinhaém
261485;PE;2;EMAD II, EMAP;Tamandaré
261640;PE;2;EMAD I, EMAP;Vitória de Santo Antão
261650;PE;2;EMAD II, EMAP;Xexéu
